,Predict,Rating
0,3.853823209796321,3.81
1,4.305577687786958,5.0
2,4.445149173725819,4.56
3,4.129136669218923,3.68
4,4.192567550500279,4.4
5,4.081253341675932,4.11
6,4.076952589208487,4.15
7,4.182094596894056,3.68
8,4.005761667085285,3.97
9,3.925331827275879,4.04
10,4.029625070932398,3.85
11,3.9630251761222626,3.84
12,4.0109321952555215,4.15
13,4.0596789335493515,4.34
14,3.9557306548157602,3.93
15,4.495519144641293,4.14
16,3.931888158608139,3.71
17,3.9986453640454744,3.93
18,4.0332558190552374,3.69
19,4.127973636503695,3.81
20,3.970791550654143,4.21
21,4.047949170441349,3.88
22,4.096964343414878,4.2
23,3.8721400130682655,4.2
24,4.045897530921834,4.1
25,4.231240204092865,4.39
26,4.070021044134243,4.23
27,4.032021632290674,3.98
28,4.491033141337928,4.49
29,4.0766376366842225,4.27
30,4.046838261684007,4.09
31,4.051535745686321,4.21
32,4.176302457992674,4.38
33,3.9913379789539993,4.01
34,4.068685794821286,3.66
35,3.948738815277236,3.55
36,3.9598041671227024,4.2
37,4.029076232317925,3.56
38,3.929796655125857,4.18
39,4.0430013787647,3.75
40,4.1871682828334,4.29
41,4.1578392117594944,4.73
42,4.1412944653207475,4.41
43,3.9394244701863173,3.38
44,4.061651228717234,4.15
45,3.8669027123063695,4.05
46,4.089924955949816,4.41
47,3.964988242834933,4.01
48,4.075706573891576,4.6
49,3.987027943253591,4.26
50,4.101471435086319,4.26
51,4.038770727259882,3.63
52,4.083859830529012,4.23
53,4.006184828027307,3.92
54,4.1348943696441625,4.47
55,4.12468717387053,4.11
56,4.043995410462268,3.59
57,4.055808875511845,3.93
58,4.194814256153528,4.67
59,3.9917776001750047,3.9
60,4.321837885030846,4.28
61,4.092330203277779,4.39
62,3.984378948351373,3.77
63,4.098662947221706,4.07
64,4.130795195905056,4.21
65,3.9186517529649434,4.17
66,3.952038544953672,4.02
67,4.064321012632484,3.87
68,4.067446956164512,4.15
69,3.9687639481356283,3.44
70,4.4444517048192855,5.0
71,4.3316516746369,3.76
72,3.9274542524605733,3.87
73,4.077932893432784,4.1
74,3.9380019007369853,3.84
75,4.464116204331117,4.62
76,4.022032750203859,3.94
77,4.288250833123248,4.33
78,4.034333375502152,3.95
79,4.074557881775315,4.22
80,4.4510136620055585,3.33
81,4.092083690558636,4.23
82,4.066525292341677,3.9
83,4.110011825892243,3.99
84,4.013636039940614,4.26
85,4.068529695221626,4.35
86,3.963088936504307,3.9
87,4.153244478452243,3.56
88,4.050875425045135,3.86
89,4.062633388079994,4.08
90,4.284502790305414,4.08
91,3.9772172838400035,3.72
92,4.020208011553165,3.9
93,4.036997679119663,4.5
94,4.377975845154116,4.47
95,4.014087876060931,3.81
96,3.89144338608477,3.78
97,4.051083368588305,4.33
98,4.30713292203721,4.38
99,4.050172068862567,4.51
100,4.085852568437995,3.82
101,4.025248270309918,3.66
102,3.991060279143361,4.02
103,4.002152647884269,4.44
104,4.229765647608113,4.29
105,4.054221288525129,4.25
106,4.103325117218228,4.1
107,4.109616715330844,4.25
108,4.314187612995728,4.32
109,3.948839567822007,3.81
110,4.083074876402165,4.16
111,4.047305471772086,4.02
112,3.997779990502324,3.95
113,4.090699277282218,4.11
114,4.001452178512152,4.06
115,4.1767843381886225,4.19
116,3.9776312757955816,3.89
117,4.060003932212239,3.57
118,3.94882611645143,4.03
119,4.055245651441466,4.07
120,4.143281235878875,4.07
121,3.9431417393159554,3.79
122,3.9921215256745803,3.67
123,3.909909062184592,4.14
124,4.0360618142691225,4.03
125,4.05740089278719,3.69
126,4.149444876099719,4.34
127,4.176940275529179,4.27
128,3.9788992418942133,4.42
129,3.9027205718884295,4.01
130,4.078898511155885,4.0
131,4.089736141222714,4.32
132,4.069810785433302,3.82
133,4.124338970802581,4.44
134,4.192861977022022,3.98
135,4.052776395406537,4.28
136,4.128376361843378,4.72
137,4.000992735022829,4.26
138,4.336205858503805,4.18
139,4.047842217427598,4.07
140,4.110011982273347,4.44
141,3.899109496256183,4.21
142,3.993600400136243,4.27
143,4.029561826995682,4.27
144,4.013624831161509,4.26
145,4.308717671434891,4.0
146,4.00985270521464,3.74
147,4.184703274821301,4.34
148,4.063595196165698,3.91
149,4.082498032267236,4.2
150,3.865493490039125,3.6
151,4.240078061201712,4.08
152,4.407732153666641,5.0
153,4.06726113541259,4.11
154,3.9809314651723042,4.31
155,4.014862198090978,4.06
156,3.97851025781047,4.54
157,4.017167698298878,3.82
158,4.144037496889037,4.17
159,4.067571271240544,4.0
160,3.9947167458132045,4.16
161,4.0512579031937115,3.78
162,4.077798863141749,4.01
163,3.971255744163845,3.98
164,3.939719912725561,3.92
165,4.070822368786169,3.81
166,3.9564294559061484,4.17
167,3.9599672867213687,3.75
168,4.387834249933442,5.0
169,3.9664279246609064,4.38
170,4.163139772702998,3.73
171,4.267734686680501,4.73
172,4.146906634066331,4.1
173,4.073326870278381,4.4
174,4.059576625612989,3.88
175,4.154083410435948,4.03
176,4.086871839448869,3.87
177,4.12227791462643,4.08
178,4.120385943901833,3.99
179,4.23872011568902,4.36
180,3.972539021188549,3.81
181,4.034730114738385,4.04
182,3.984394618428622,4.21
183,4.015270958374915,4.44
184,4.072052744057694,3.65
185,3.9425398550720723,4.01
186,4.071428104904362,3.93
187,4.056579837928048,3.42
188,4.022327682339377,4.33
189,4.081289783455353,3.95
190,4.192838789398657,4.16
191,4.3747581805539095,4.19
192,3.885166673741658,3.73
193,3.981472719962379,4.19
194,4.157629093338002,4.09
195,4.028581756788503,3.95
196,4.051556306561834,3.91
197,4.053947354891248,4.19
198,4.085519815877074,3.93
199,4.051581025862186,4.01
200,3.9153018454738975,3.33
201,3.916075935449918,3.46
202,4.043826300209464,4.54
203,3.9134178500405143,3.62
204,4.007402548871689,4.17
205,4.035996462192833,4.22
206,4.056239909798682,4.14
207,3.931729923143557,4.54
208,4.041103124880795,4.28
209,4.108607474341041,3.58
210,4.037654059935262,4.0
211,4.21331633897717,4.03
212,4.005988408454612,4.03
213,4.029765398325593,4.08
214,4.062677669601756,4.13
215,4.169884078421683,4.28
216,4.040444168460042,3.64
217,3.999450152936869,4.13
218,4.129353721674696,4.16
219,4.14879601478106,4.35
220,3.9651231077467344,3.65
221,4.087480040506501,3.69
222,4.278759228588713,4.5
223,3.981256970271688,4.1
224,4.022662704700851,4.17
225,4.014279747609727,4.26
226,4.032873800737035,3.76
227,4.119693983341758,4.42
228,4.076612645210915,4.17
229,4.100909855262972,3.92
230,3.9478543049651185,3.65
231,4.2354460448278655,3.88
232,4.067990707660329,3.92
233,4.164745422419494,4.17
234,3.8915876339903677,3.73
235,4.027894859620119,4.03
236,4.091887741705649,4.14
237,3.914497694244832,3.82
238,3.9285796152014583,3.99
239,3.9802258542894653,4.11
240,3.986086473080009,4.16
241,4.090192040901686,3.96
242,4.005292378577199,3.69
243,3.9617202049128015,4.07
244,4.060733340806298,3.74
245,3.970317769193417,3.79
246,3.94381552262262,3.52
247,4.0744656173072835,4.49
248,4.035859022929344,4.21
249,4.040536806574672,4.07
250,4.057499596141965,3.94
251,4.004149084986931,4.12
252,4.0115206554648735,4.04
253,3.9417364322424495,3.69
254,4.247645801942864,4.06
255,3.875586688927734,3.75
256,4.014195042191828,4.18
257,3.8378642061499004,3.91
258,3.929425763704398,3.94
259,3.9351267253467803,4.06
260,4.088310515694586,3.97
261,4.142169507672114,4.0
262,3.860020733845903,3.52
263,3.929098329130684,4.29
264,4.101748364262592,3.77
265,4.360321609731718,4.12
266,3.9521555929473244,3.85
267,4.0617329461507445,3.74
268,4.086790102117985,3.83
269,4.099534598906161,4.41
270,4.096803435603916,4.27
271,4.044591207104792,4.28
272,4.0661935915832546,3.88
273,4.0801082667201936,3.72
274,4.221141981445059,3.78
275,4.030707916828969,3.75
276,3.9653806118996147,3.64
277,4.030125535111538,3.99
278,3.8985774456231366,3.95
279,4.047726253085034,3.82
280,4.080463418069614,4.31
281,4.2216341267891435,3.94
282,4.056259799920368,3.89
283,3.969061018420565,4.37
284,3.988158113295018,3.96
285,3.8963000314205583,4.06
286,4.1042956423460515,4.19
287,4.111640075215202,4.14
288,3.9478280072317675,4.24
289,3.898033371431077,3.65
290,4.061799741707273,4.0
291,4.09866618136389,3.89
292,4.160903345468142,3.91
293,3.984612642712718,4.09
294,3.850013474734571,3.67
295,4.056130121460509,3.62
296,3.947121521336828,4.01
297,4.017929312220965,4.1
298,3.8466402654352914,3.58
299,4.004869101311563,3.84
300,3.990776254575362,4.34
